timestamp,angle_calculated
0.0,2.7912776470184326
0.01326212,2.8165035247802734
0.014242746,2.813831329345703
0.014976811,2.7872698307037354
0.015624531,2.7970187664031982
0.016258527,2.806870937347412
0.016857381,2.8054721355438232
0.017400813,2.8114686012268066
0.017935251,2.8126657009124756
0.018454186,2.8060343265533447
0.018954806,2.8142049312591553
0.03839594,2.7927329540252686
0.074029129,2.788311719894409
0.109646338,2.787200689315796
0.145287284,2.794260025024414
0.178426242,2.7877891063690186
0.208308087,2.7973721027374268
0.248313029,2.803227663040161
0.285894699,2.7965333461761475
0.315938696,2.7945287227630615
0.350327885,2.78649640083313
0.389055628,2.7950878143310547
0.418074355,2.7795302867889404
0.45778277,2.813009023666382
0.493410408,2.8033370971679688
0.524917339,2.790958881378174
0.554308857,2.7935776710510254
0.592395765,2.8037590980529785
0.625891937,2.8043129444122314
0.66023122,2.798187255859375
0.700287189,2.8039605617523193
0.734109155,2.8181817531585693
0.761763017,2.809290885925293
0.80140846,2.8067357540130615
0.826388595,2.8132970333099365
0.865124115,2.8141138553619385
0.906644209,2.790759801864624
0.934192593,2.8135557174682617
0.971288857,2.791508436203003
1.012516288,2.7862725257873535
1.036603177,2.8017284870147705
1.076572924,2.7935550212860107
1.107532698,2.8131327629089355
1.141891583,2.7934930324554443
1.184259945,2.7911345958709717
1.210158445,2.813483953475952
1.252715575,2.7966718673706055
1.284378001,2.7943341732025146
1.312203464,2.77943754196167
1.352600607,2.7947988510131836
1.380232083,2.7863006591796875
1.417143911,2.792738199234009
1.449988035,2.8053319454193115
1.482494745,2.799527645111084
1.518182239,2.8058760166168213
1.564394778,2.785875082015991
1.588138616,2.7975826263427734
1.63438161,2.7930843830108643
1.656456015,2.8043718338012695
1.701959909,2.796140193939209
1.728220979,2.797182321548462
1.760273258,2.7820866107940674
1.798050825,2.809356689453125
1.832803812,2.802304983139038
1.870048546,2.799616813659668
1.907936227,2.8084716796875
1.933287085,2.7916862964630127
1.967963104,2.774616241455078
2.008942479,2.7860236167907715
2.035173293,2.7817647457122803
2.075134193,2.792250633239746
2.116336869,2.784729480743408
2.145768523,2.7911338806152344
2.178489619,2.788618803024292
2.212441377,2.7947540283203125
2.253532258,2.79826021194458
2.280294101,2.795408248901367
2.313114097,2.7855312824249268
2.350044809,2.794936418533325
2.386389904,2.7915546894073486
2.420418012,2.781787633895874
2.453905771,2.78722882270813
2.493833963,2.799654722213745
2.52132529,2.7797608375549316
2.56113333,2.7935097217559814
2.597651597,2.80043625831604
2.632618706,2.800713300704956
2.659859669,2.8046038150787354
2.695753887,2.7938754558563232
2.733574137,2.8146920204162598
2.768025104,2.7937662601470947
2.802563039,2.7911171913146973
2.836297947,2.784865379333496
2.870462717,2.7892301082611084
2.903521632,2.8016159534454346
2.935261166,2.780829906463623
2.966625407,2.795276641845703
3.010463819,2.7980644702911377
3.040702646,2.7834370136260986
3.082254983,2.7924952507019043
3.107352136,2.8131229877471924
3.141464597,2.8022284507751465
3.184398457,2.8022985458374023
3.211746965,2.79384183883667
3.247531715,2.800482988357544
3.284985474,2.8054163455963135
3.313140232,2.7993946075439453
3.354771056,2.7929129600524902
3.385825492,2.8032102584838867
3.414443348,2.8044426441192627
3.45084834,2.806994676589966
3.494476938,2.796107053756714
3.52706454,2.797358274459839
3.55548801,2.8004207611083984
3.587775385,2.8148982524871826
3.626836857,2.8172271251678467
3.663267007,2.808212995529175
3.69099942,2.824972152709961
3.727821701,2.820467233657837
3.763443377,2.809170961380005
3.7987915,2.8230676651000977
3.834412912,2.8335835933685303
3.864613099,2.831732988357544
3.901049612,2.8207831382751465
3.945631904,2.8312153816223145
3.974354119,2.802363395690918
4.004298512,2.832864999771118
4.045791609,2.8404178619384766
4.072895984,2.816049098968506
4.112247739,2.8396174907684326
4.14446196,2.8096487522125244
4.175725461,2.848824977874756
4.219314224,2.8245761394500732
4.244843288,2.82316517829895
4.281064742,2.7980458736419678
4.325242812,2.801708698272705
4.352885304,2.793874979019165
4.385039039,2.827516794204712
4.416794022,2.8232462406158447
4.454983702,2.8177127838134766
