timestamp,angle_real,angle_calculated,error
0.554210865,0.550000011920929,2.508949041366577,1.9589490294456482
0.662711215,0.550000011920929,2.3342649936676025,1.7842649817466736
0.860466478,0.550000011920929,2.49750018119812,1.9475001692771912
1.007027481,0.6000000238418579,2.49750018119812,1.8975001573562622
1.062459364,0.6000000238418579,2.5035996437072754,1.9035996198654175
1.203768862,0.6000000238418579,2.5035996437072754,1.9035996198654175
1.263921532,0.6000000238418579,2.5246853828430176,1.9246853590011597
1.402279471,0.6000000238418579,2.5246853828430176,1.9246853590011597
1.461795223,0.6000000238418579,2.529348850250244,1.9293488264083862
1.604049007,0.6000000238418579,2.529348850250244,1.9293488264083862
1.679403169,0.6000000238418579,2.624413251876831,2.024413228034973
1.80341077,0.6000000238418579,2.624413251876831,2.024413228034973
1.874629333,0.6000000238418579,2.685763120651245,2.085763096809387
1.999152453,0.6000000238418579,2.685763120651245,2.085763096809387
2.070886334,0.6000000238418579,2.9509947299957275,2.3509947061538696
2.206532715,0.6000000238418579,2.9509947299957275,2.3509947061538696
2.278996933,0.6000000238418579,3.3259260654449463,2.7259260416030884
2.471282758,0.6000000238418579,3.895822286605835,3.295822262763977
2.671780689,0.6000000238418579,4.300612449645996,3.700612425804138
2.800570434,2.5,4.300612449645996,1.800612449645996
2.882738091,2.5,4.890033721923828,2.390033721923828
2.999336117,3.25,4.890033721923828,1.6400337219238281
3.085452781,3.25,5.612881183624268,2.3628811836242676
3.275925801,3.25,6.492928504943848,3.2429285049438477
3.46973805,3.25,7.718257904052734,4.468257904052734
3.675956175,3.25,8.332152366638184,5.082152366638184
3.80325789,6.699999809265137,8.332152366638184,1.6321525573730469
3.869664608,6.699999809265137,10.005081176757812,3.305081367492676
4.069688782,6.699999809265137,10.996923446655273,4.296923637390137
4.202450846,9.300000190734863,10.996923446655273,1.6969232559204102
4.281980373,9.300000190734863,12.172259330749512,2.8722591400146484
4.403915569,10.800000190734863,12.172259330749512,1.3722591400146484
4.484182193,10.800000190734863,12.915682792663574,2.115682601928711
4.604555534,11.300000190734863,12.915682792663574,1.615682601928711
4.688479245,11.300000190734863,12.99859619140625,1.6985960006713867
4.79826689,11.300000190734863,12.99859619140625,1.6985960006713867
4.899883569,11.300000190734863,13.00457763671875,1.7045774459838867
5.006288422,11.300000190734863,13.00457763671875,1.7045774459838867
5.093231866,11.300000190734863,13.553060531616211,2.2530603408813477
5.203962836,11.800000190734863,13.553060531616211,1.7530603408813477
5.299341209,11.800000190734863,14.47487735748291,2.674877166748047
5.403710464,12.75,14.47487735748291,1.7248773574829102
5.501988128,12.75,15.349227905273438,2.5992279052734375
5.603362153,11.60900000333786,15.349227905273438,3.7402279019355777
5.692934947,11.60900000333786,15.98742389678955,4.378423893451691
5.895879121,11.60900000333786,16.517114639282227,4.908114635944367
6.095310966,11.60900000333786,17.089336395263672,5.480336391925812
6.29845324,11.60900000333786,17.837528228759766,6.228528225421906
6.404600563,15.800000190734863,17.837528228759766,2.0375280380249023
6.498347734,15.800000190734863,18.786693572998047,2.9866933822631836
6.700806499,15.800000190734863,19.60135841369629,3.801358222961426
6.90741607,15.800000190734863,20.244550704956055,4.444550514221191
7.128728891,15.800000190734863,20.934276580810547,5.134276390075684
7.31511497,15.800000190734863,21.57303237915039,5.773032188415527
7.404735781,19.399999618530273,21.57303237915039,2.173032760620117
7.508689589,19.399999618530273,22.44611167907715,3.046112060546875
7.714514178,19.399999618530273,23.031028747558594,3.6310291290283203
7.907815435,19.399999618530273,24.115737915039062,4.715738296508789
8.112697569,19.399999618530273,25.324472427368164,5.924472808837891
8.320921778,19.399999618530273,25.940162658691406,6.540163040161133
8.518125259,19.399999618530273,26.92395782470703,7.523958206176758
8.603815449,19.97999973297119,26.92395782470703,6.9439580917358406
8.720736455,19.97999973297119,27.0349178314209,7.054918098449708
8.803046054,20.55199983596802,27.0349178314209,6.48291799545288
8.91950764,20.55199983596802,28.11981201171875,7.567812175750731
9.004609321,21.166799928665164,28.11981201171875,6.953012083053586
9.12071058,21.166799928665164,29.302289962768555,8.135490034103391
9.317613362,21.166799928665164,30.687517166137695,9.520717237472532
9.40190655,19.346119939613345,30.687517166137695,11.34139722652435
9.522704085,19.346119939613345,31.68337631225586,12.337256372642514
9.72143935,19.346119939613345,32.54051971435547,13.194399774742124
9.923106908,19.346119939613345,33.48502731323242,14.138907373619077
10.125424637,19.346119939613345,33.98979949951172,14.643679559898374
10.327504825,19.346119939613345,35.08024978637695,15.734129846763608
10.539338492,19.346119939613345,36.088783264160156,16.74266332454681
10.728493072,19.346119939613345,36.58350372314453,17.237383783531186
10.926674627,19.346119939613345,37.53990173339844,18.193781793785092
11.000117894,17.76650794088364,37.53990173339844,19.7733937925148
11.134481674,17.76650794088364,38.578330993652344,20.811823052768705
11.327352052,17.76650794088364,39.519012451171875,21.752504510288237
11.525461348,17.76650794088364,40.38164138793945,22.615133447055815
11.597957988,16.376857135351184,40.38164138793945,24.00478425258827
11.738574558,16.376857135351184,40.955223083496094,24.57836594814491
11.935925369,16.376857135351184,41.47529983520508,25.098442699853894
12.00373879,18.699171269228174,41.47529983520508,22.776128565976904
12.125876129,18.699171269228174,42.398860931396484,23.69968966216831
12.199652782,17.229254142305358,42.398860931396484,25.169606789091127
12.35421302,17.229254142305358,43.364662170410156,26.1354080281048
12.541824437,17.229254142305358,44.139320373535156,26.9100662312298
12.74521963,17.229254142305358,44.979957580566406,27.75070343826105
12.941973046,17.229254142305358,45.50031661987305,28.27106247756769
13.157211957,17.229254142305358,46.22899627685547,28.99974213455011
13.356174451,17.229254142305358,46.759033203125,29.529779060819642
13.541716945,17.229254142305358,47.471168518066406,30.24191437576105
13.758944572,17.229254142305358,48.03555679321289,30.806302650907533
13.959013746,17.229254142305358,48.52177047729492,31.292516334989564
14.144331417,17.229254142305358,49.329627990722656,32.1003738484173
14.202605614,20.246328880662713,49.329627990722656,29.083299110059944
14.346705544,20.246328880662713,49.67835235595703,29.43202347529432
14.549164736,20.246328880662713,50.25270080566406,30.00637192500135
14.598073643,23.101695916302496,50.25270080566406,27.151004889361566
14.74880696,23.101695916302496,50.65579605102539,27.554100134722894
14.94127475,23.101695916302496,51.19982147216797,28.098125555865472
15.152375216,23.101695916302496,51.518089294433594,28.416393378131097
