timestamp,angle_real_hitch,error_hitch,angle_real_beta,error_beta,angle_calculated
0.777,-1.27,1.58,-1.27,1.58,0.31
0.815,-1.27,1.61,-1.27,1.61,0.34
0.818,-1.27,1.61,-1.27,1.61,0.34
0.820,-1.27,1.61,-1.27,1.61,0.34
0.852,-1.27,1.59,-1.27,1.59,0.32
0.869,-1.27,1.59,-1.27,1.59,0.32
0.870,-1.27,1.59,-1.27,1.59,0.32
0.884,-1.27,1.58,-1.27,1.58,0.31
0.920,-1.27,1.58,-1.27,1.58,0.31
0.922,-1.27,1.58,-1.27,1.58,0.31
0.923,-1.27,1.60,-1.27,1.60,0.33
0.950,-1.27,1.60,-1.27,1.60,0.33
0.970,-1.27,1.60,-1.27,1.60,0.33
0.972,-1.27,1.60,-1.27,1.60,0.33
0.986,-1.27,1.58,-1.27,1.58,0.31
1.021,-1.27,1.58,-1.27,1.58,0.31
1.024,-1.27,1.58,-1.27,1.58,0.31
1.026,-1.27,1.60,-1.27,1.60,0.33
1.065,-1.27,1.60,-1.27,1.60,0.33
1.073,-1.27,1.60,-1.27,1.60,0.33
1.077,-1.27,1.60,-1.27,1.60,0.33
1.093,-1.27,1.59,-1.27,1.59,0.32
1.125,-1.27,1.59,-1.27,1.59,0.32
1.128,-1.27,1.59,-1.27,1.59,0.32
1.135,-1.27,1.59,-1.27,1.59,0.32
1.158,-1.27,1.61,-1.27,1.61,0.34
1.175,-1.27,1.61,-1.27,1.61,0.34
1.179,-1.27,1.61,-1.27,1.61,0.34
1.194,-1.27,1.60,-1.27,1.60,0.33
1.225,-1.27,1.60,-1.27,1.60,0.33
1.228,-1.27,1.60,-1.27,1.60,0.33
1.229,-1.27,1.62,-1.27,1.62,0.35
1.262,-1.27,1.58,-1.27,1.58,0.31
1.277,-1.27,1.58,-1.27,1.58,0.31
1.279,-1.27,1.58,-1.27,1.58,0.31
1.297,-1.27,1.60,-1.27,1.60,0.33
1.328,-1.27,1.60,-1.27,1.60,0.33
1.331,-1.27,1.60,-1.27,1.60,0.33
1.335,-1.27,1.60,-1.27,1.60,0.33
1.367,-1.27,1.60,-1.27,1.60,0.33
1.379,-1.27,1.60,-1.27,1.60,0.33
1.382,-1.27,1.60,-1.27,1.60,0.33
1.403,-1.27,1.61,-1.27,1.61,0.34
1.429,-1.27,1.61,-1.27,1.61,0.34
1.433,-1.27,1.61,-1.27,1.61,0.34
1.436,-1.27,1.58,-1.27,1.58,0.31
1.470,-1.27,1.62,-1.27,1.62,0.35
1.480,-1.27,1.62,-1.27,1.62,0.35
1.485,-1.27,1.62,-1.27,1.62,0.35
1.502,-1.27,1.59,-1.27,1.59,0.32
1.530,-1.27,1.59,-1.27,1.59,0.32
1.534,-1.27,1.59,-1.27,1.59,0.32
1.541,-1.27,1.55,-1.27,1.55,0.28
1.575,-1.27,1.59,-1.27,1.59,0.32
1.581,-1.27,1.59,-1.27,1.59,0.32
